,index,full_upc_code,product_module_descr,container_descr,class
0,514,008346740017,WEIGHT LOSS,BOTTLE,heavy_plastic
1,515,008346740024,WEIGHT LOSS,BOTTLE,heavy_plastic
2,516,008346740055,WEIGHT LOSS,BOTTLE,heavy_plastic
3,517,008346740062,WEIGHT LOSS,BOTTLE,heavy_plastic
4,518,008346740079,WEIGHT LOSS,BOTTLE,heavy_plastic
5,519,008346740086,WEIGHT LOSS,BOTTLE,heavy_plastic
6,520,008346740093,WEIGHT LOSS,BOTTLE,heavy_plastic
7,521,008346740109,WEIGHT LOSS,BOTTLE,heavy_plastic
8,522,008346740123,WEIGHT LOSS,BOTTLE,heavy_plastic
9,523,008346740130,WEIGHT LOSS,BOTTLE,heavy_plastic
10,524,008346740505,WEIGHT LOSS,BOTTLE,heavy_plastic
11,525,008346740529,WEIGHT LOSS,BOTTLE,heavy_plastic
12,527,008346740611,WEIGHT LOSS,BOTTLE,heavy_plastic
13,528,008346740628,WEIGHT LOSS,BOTTLE,heavy_plastic
14,529,008346740635,WEIGHT LOSS,BOTTLE,heavy_plastic
15,531,008346780013,WEIGHT LOSS,BOTTLE,heavy_plastic
16,533,008346780051,WEIGHT LOSS,BOTTLE,heavy_plastic
17,534,008346780075,WEIGHT LOSS,BOTTLE,heavy_plastic
18,535,008346780204,WEIGHT LOSS,BOTTLE,heavy_plastic
19,538,008346790012,WEIGHT LOSS,CANISTER,heavy_plastic
20,539,008346790029,WEIGHT LOSS,CANISTER,heavy_plastic
21,547,008346861002,WEIGHT LOSS,CANISTER,heavy_plastic
22,548,008346861033,WEIGHT LOSS,CANISTER,heavy_plastic
23,551,008346874026,WEIGHT LOSS,CANISTER,heavy_plastic
24,552,008346874064,WEIGHT LOSS,CANISTER,heavy_plastic
25,566,008346876105,WEIGHT LOSS,JAR,heavy_plastic
26,606,008577002786,SYRUP,,heavy_plastic
27,607,008577004452,SYRUP,,heavy_plastic
28,609,008577004544,SYRUP,,heavy_plastic
29,1196,009800001651,BREATH MINTS,,heavy_plastic
30,1197,009800001750,BREATH MINTS,,heavy_plastic
31,1198,009800002993,BREATH MINTS,,heavy_plastic
32,1202,009800004102,BREATH MINTS,,heavy_plastic
